time_ms,x,y,action
0,10.0,0.0,forward
50,10.871557427476581,0.03805301908254467,arc
100,11.736481776669303,0.15192246987791944,arc
150,12.588190451025207,0.34074173710931716,arc
200,13.420201433256688,0.6030737921409162,arc
250,14.226182617406995,0.9369221296335004,arc
300,15.0,1.3397459621556136,arc
350,15.73576436351046,1.8084795571100822,arc
400,16.427876096865393,2.33955556881022,arc
450,17.071067811865476,2.9289321881345254,arc
500,17.66044443118978,3.572123903134608,arc
550,18.191520442889917,4.26423563648954,arc
600,18.660254037844386,5.000000000000002,arc
650,19.0630778703665,5.773817382593008,arc
700,19.39692620785908,6.579798566743316,arc
750,19.65925826289068,7.411809548974796,arc
800,19.84807753012208,8.263518223330701,arc
850,19.961946980917453,9.128442572523424,arc
900,19.999999999999996,10.000000000000007,arc
950,19.999999999999993,20.00000000000002,forward
1000,19.999999999999993,23.535533905932763,forward-B-start
1050,16.464466094067248,20.000000000000018,arc-B
1100,19.999999999999993,20.000000000000014,forward-B-end
1150,30.00000000000001,20.00000000000001,forward
1200,30.871557427476596,20.038053019082554,arc
1250,31.73648177666932,20.151922469877928,arc
1300,32.58819045102523,20.340741737109326,arc
1350,33.42020143325671,20.603073792140925,arc
1400,34.22618261740702,20.93692212963351,arc
1450,35.00000000000003,21.33974596215562,arc
1500,35.73576436351049,21.80847955711009,arc
1550,36.427876096865425,22.33955556881023,arc
1600,37.07106781186551,22.928932188134535,arc
1650,37.660444431189816,23.572123903134617,arc
1700,38.19152044288995,24.264235636489552,arc
1750,38.660254037844425,25.000000000000014,arc
1800,39.06307787036654,25.773817382593023,arc
1850,39.396926207859124,26.57979856674333,arc
1900,39.659258262890724,27.411809548974812,arc
1950,39.848077530122126,28.263518223330717,arc
2000,39.9619469809175,29.12844257252344,arc
2050,40.00000000000005,30.000000000000025,arc
2100,40.00000000000006,40.00000000000006,forward
2150,39.96194698091751,40.87155742747664,arc
2200,39.84807753012213,41.736481776669365,arc
2250,39.65925826289074,42.58819045102527,arc
2300,39.39692620785914,43.42020143325675,arc
2350,39.063077870366556,44.22618261740706,arc
2400,38.66025403784444,45.00000000000007,arc
2450,38.19152044288997,45.73576436351053,arc
2500,37.66044443118983,46.42787609686547,arc
2550,37.071067811865525,47.071067811865554,arc
