x,y
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
546,461
518,465
492,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
545,465
548,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
548,465
550,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
546,461
518,465
492,467
429,305
517,309
694,309
427,311
642,311
582,312
535,313
482,314
690,314
651,315
579,316
533,317
534,318
498,320
488,376
494,379
697,379
703,380
626,381
538,382
494,383
449,384
667,384
628,385
563,386
514,387
493,388
522,390
468,400
539,401
719,401
434,403
657,403
606,404
576,405
535,406
496,407
470,408
682,408
709,409
616,410
631,413
507,423
444,425
502,426
447,428
520,429
443,431
528,432
440,465
536,466
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
